Date,Close
15-03-2019,290.799988
18-03-2019,293.549988
19-03-2019,299.450012
20-03-2019,298.899994
22-03-2019,298.200012
25-03-2019,295.049988
26-03-2019,293.399994
27-03-2019,293.100006
28-03-2019,300
01-04-2019,297.25
02-04-2019,297.899994
03-04-2019,296.149994
04-04-2019,294.799988
05-04-2019,294.549988
08-04-2019,292.75
09-04-2019,296.299988
10-04-2019,294.700012
11-04-2019,296.399994
12-04-2019,305.75
15-04-2019,305.5
16-04-2019,307.200012
18-04-2019,304.399994
22-04-2019,301.799988
23-04-2019,303.399994
24-04-2019,306.450012
25-04-2019,304.149994
26-04-2019,304.549988
30-04-2019,301.350006
02-05-2019,305
03-05-2019,304.25
06-05-2019,307
07-05-2019,301.899994
08-05-2019,300.649994
09-05-2019,299.850006
10-05-2019,297.75
13-05-2019,289.299988
14-05-2019,294.350006
15-05-2019,297.049988
16-05-2019,294.75
17-05-2019,301.399994
20-05-2019,307
21-05-2019,305.899994
22-05-2019,299.75
23-05-2019,288.200012
24-05-2019,290.450012
27-05-2019,290.850006
28-05-2019,288.899994
29-05-2019,288.100006
30-05-2019,288.649994
31-05-2019,278.549988
03-06-2019,278.549988
04-06-2019,279.25
06-06-2019,275.75
07-06-2019,275.25
10-06-2019,279.399994
11-06-2019,279.850006
12-06-2019,279.950012
13-06-2019,280.600006
14-06-2019,278.049988
17-06-2019,275
18-06-2019,275.100006
19-06-2019,277.200012
20-06-2019,277
21-06-2019,274.25
24-06-2019,276.25
25-06-2019,278.5
26-06-2019,277.399994
27-06-2019,273.5
28-06-2019,273.850006
01-07-2019,274.950012
02-07-2019,273.850006
03-07-2019,276.700012
04-07-2019,277.649994
05-07-2019,279.450012
08-07-2019,277.450012
09-07-2019,273.100006
10-07-2019,273.149994
11-07-2019,275.649994
12-07-2019,275.049988
15-07-2019,270.950012
16-07-2019,271.950012
17-07-2019,272.899994
18-07-2019,273
19-07-2019,268.299988
22-07-2019,264.399994
23-07-2019,270.649994
24-07-2019,270.850006
25-07-2019,267.850006
26-07-2019,270.399994
29-07-2019,267.75
30-07-2019,268.899994
31-07-2019,270.200012
01-08-2019,267.549988
02-08-2019,264.5
05-08-2019,259.799988
06-08-2019,258.899994
07-08-2019,253.649994
08-08-2019,257.75
09-08-2019,254.199997
13-08-2019,246.300003
14-08-2019,248.75
16-08-2019,253
19-08-2019,251.550003
20-08-2019,246.5
21-08-2019,241.449997
22-08-2019,240.050003
23-08-2019,236.100006
26-08-2019,242.5
27-08-2019,245.5
28-08-2019,245.949997
29-08-2019,241.199997
30-08-2019,245.649994
03-09-2019,241.550003
04-09-2019,243.25
05-09-2019,244.25
